,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
429,1048,1,0.9,0,10.0,1.0,28.0,0.8,194.0,2.0,19.0,966.0,1975.0,1458.0,5.0,1.0,15,1,0,1,1
616,1369,1,1.8,1,6.0,0.0,34.0,0.5,162.0,1.0,7.0,553.0,727.0,3856.0,18.0,4.0,18,0,1,1,3
719,1068,0,2.0,1,1.0,1.0,37.0,0.9,184.0,7.0,13.0,186.0,1998.0,1803.0,5.0,4.0,7,1,0,0,1
1320,1538,1,2.3,0,6.0,1.0,13.0,0.2,121.0,7.0,7.0,567.0,986.0,1494.0,18.0,10.0,12,1,1,1,1
302,768,1,0.9,0,16.0,1.0,56.0,0.1,113.0,1.0,20.0,418.0,515.0,952.0,19.0,3.0,16,1,0,1,0
1032,1753,0,1.2,0,8.0,1.0,12.0,0.9,113.0,7.0,17.0,387.0,1595.0,1445.0,17.0,16.0,12,1,1,1,1
1215,1898,0,1.8,1,3.0,1.0,56.0,0.2,185.0,7.0,4.0,444.0,739.0,2114.0,10.0,5.0,19,1,1,1,2
297,1329,1,1.0,0,1.0,0.0,52.0,0.9,181.0,6.0,2.0,1053.0,1458.0,1228.0,8.0,6.0,6,1,0,1,1
822,839,0,2.0,1,0.0,0.0,14.0,0.4,175.0,7.0,3.0,564.0,1391.0,3835.0,15.0,8.0,11,1,0,0,3
1555,1110,0,0.6,0,1.0,0.0,42.0,0.9,192.0,5.0,2.0,1179.0,1262.0,456.0,12.0,8.0,18,1,1,0,0
1904,1494,0,1.6,0,3.0,1.0,45.0,0.8,158.0,5.0,4.0,449.0,790.0,3208.0,11.0,9.0,4,1,0,0,3
80,1589,1,0.6,1,0.0,1.0,58.0,0.9,85.0,7.0,7.0,319.0,1206.0,3464.0,19.0,10.0,6,1,1,1,3
1850,1944,0,0.6,1,9.0,1.0,59.0,0.2,132.0,7.0,10.0,634.0,1079.0,769.0,19.0,13.0,3,1,0,1,0
84,1127,1,2.9,1,5.0,1.0,57.0,0.8,163.0,1.0,13.0,928.0,1049.0,2048.0,11.0,5.0,17,1,1,1,1
1012,536,1,1.4,0,0.0,1.0,53.0,0.7,135.0,3.0,0.0,547.0,705.0,1211.0,15.0,10.0,7,1,0,1,0
675,600,0,2.5,1,8.0,1.0,22.0,0.1,145.0,1.0,11.0,207.0,1162.0,3441.0,19.0,1.0,5,1,0,0,2
1645,1940,1,1.0,1,0.0,1.0,5.0,0.2,194.0,4.0,1.0,588.0,1809.0,820.0,19.0,18.0,3,1,1,1,1
1579,1715,0,2.6,1,9.0,1.0,15.0,0.6,120.0,6.0,20.0,114.0,1849.0,1249.0,16.0,2.0,4,1,1,0,1
1838,720,1,0.9,1,12.0,1.0,14.0,0.8,165.0,4.0,14.0,366.0,1234.0,1086.0,14.0,7.0,3,1,1,0,0
466,1653,0,0.5,1,2.0,1.0,37.0,0.9,176.0,4.0,6.0,447.0,1785.0,3955.0,19.0,4.0,18,1,1,1,3
1397,717,0,1.1,1,2.0,1.0,14.0,0.1,99.0,8.0,6.0,1878.0,1981.0,629.0,16.0,15.0,20,1,0,0,0
1177,1031,1,2.1,1,2.0,1.0,11.0,0.1,121.0,2.0,9.0,532.0,1247.0,2385.0,11.0,7.0,16,1,0,0,2
1239,1240,0,1.6,0,0.0,0.0,39.0,0.1,146.0,2.0,9.0,1511.0,1756.0,3260.0,13.0,1.0,17,0,0,1,3
1960,1063,0,2.0,0,0.0,0.0,27.0,0.2,86.0,6.0,7.0,201.0,582.0,2668.0,12.0,5.0,19,0,0,0,2
1158,1097,0,0.8,0,10.0,1.0,21.0,0.1,160.0,7.0,15.0,1277.0,1352.0,2219.0,15.0,6.0,12,1,0,1,2
581,1512,1,0.5,0,8.0,1.0,18.0,0.1,88.0,3.0,17.0,1079.0,1897.0,3607.0,12.0,10.0,6,1,1,1,3
1606,557,0,0.5,1,3.0,0.0,17.0,0.2,89.0,6.0,4.0,322.0,710.0,2623.0,17.0,16.0,16,0,0,0,1
1881,1802,1,1.2,1,8.0,0.0,27.0,0.5,116.0,5.0,16.0,453.0,963.0,1885.0,10.0,9.0,7,1,1,0,2
117,1084,1,2.6,0,3.0,1.0,40.0,0.9,107.0,3.0,11.0,322.0,771.0,1945.0,15.0,4.0,10,1,1,0,1
112,867,0,1.4,1,0.0,1.0,4.0,0.7,135.0,6.0,1.0,70.0,1974.0,790.0,13.0,6.0,3,1,1,0,0
889,1829,0,1.7,0,0.0,0.0,36.0,0.8,112.0,5.0,1.0,291.0,563.0,1475.0,11.0,4.0,7,0,0,0,1
757,554,1,1.3,0,0.0,0.0,12.0,0.1,105.0,6.0,10.0,85.0,806.0,3764.0,10.0,7.0,4,0,1,1,2
1115,501,1,0.5,1,14.0,0.0,22.0,0.5,174.0,6.0,20.0,239.0,1636.0,3077.0,17.0,3.0,17,0,0,0,2
1802,1289,0,0.8,1,3.0,1.0,16.0,0.9,161.0,6.0,17.0,713.0,1854.0,3167.0,14.0,8.0,20,1,1,0,3
1710,548,0,1.0,1,0.0,1.0,56.0,0.4,146.0,4.0,14.0,657.0,1657.0,562.0,17.0,14.0,8,1,1,1,0
274,793,0,1.0,1,5.0,1.0,30.0,0.9,133.0,2.0,15.0,1858.0,1935.0,2332.0,17.0,13.0,14,1,1,1,2
627,1227,1,1.1,1,0.0,0.0,34.0,0.2,130.0,3.0,3.0,935.0,1781.0,1324.0,7.0,3.0,12,0,1,1,1
83,1008,0,0.8,0,11.0,0.0,61.0,1.0,114.0,3.0,15.0,1077.0,1122.0,2009.0,10.0,3.0,11,1,0,0,1
1539,875,1,0.7,1,1.0,0.0,30.0,0.7,146.0,8.0,8.0,469.0,853.0,702.0,19.0,15.0,15,1,1,1,0
102,543,0,0.5,0,0.0,0.0,57.0,0.7,192.0,5.0,4.0,391.0,984.0,2413.0,17.0,14.0,15,1,0,0,1
1634,986,1,0.8,0,13.0,1.0,28.0,0.8,182.0,4.0,20.0,199.0,679.0,1149.0,8.0,7.0,18,1,1,0,0
1963,1906,1,1.9,1,3.0,0.0,55.0,0.2,113.0,3.0,4.0,3.0,629.0,1871.0,13.0,5.0,4,1,0,1,1
1642,936,0,0.5,1,14.0,1.0,14.0,0.1,164.0,3.0,17.0,150.0,1677.0,3761.0,13.0,1.0,12,1,0,0,3
1274,1602,0,2.7,0,4.0,1.0,46.0,0.6,118.0,1.0,5.0,273.0,1062.0,1862.0,16.0,9.0,2,1,0,1,1
183,959,1,2.6,1,15.0,0.0,20.0,1.0,84.0,4.0,19.0,561.0,1631.0,3965.0,16.0,1.0,6,1,0,0,3
1557,1211,1,1.2,0,0.0,0.0,28.0,0.3,130.0,2.0,3.0,58.0,963.0,2750.0,6.0,1.0,14,0,1,0,2
915,1265,0,0.6,1,4.0,1.0,49.0,0.5,90.0,1.0,5.0,275.0,687.0,1518.0,16.0,11.0,8,1,0,1,1
988,1413,1,0.5,1,4.0,1.0,45.0,0.4,104.0,5.0,6.0,1949.0,1994.0,2973.0,17.0,8.0,15,1,0,1,3
1494,574,1,2.0,1,0.0,1.0,26.0,0.5,118.0,6.0,2.0,382.0,1364.0,1303.0,8.0,4.0,2,1,0,1,0
479,1589,1,2.2,1,2.0,0.0,58.0,0.1,128.0,4.0,4.0,957.0,1911.0,3961.0,16.0,14.0,14,1,0,1,3
1897,1075,0,0.5,1,2.0,0.0,11.0,0.2,122.0,1.0,16.0,271.0,1769.0,3927.0,8.0,3.0,7,1,0,0,3
473,932,1,0.5,0,1.0,1.0,60.0,0.7,104.0,4.0,2.0,268.0,1078.0,1459.0,6.0,1.0,19,1,1,0,0
798,1800,1,0.7,0,2.0,1.0,8.0,0.4,100.0,7.0,6.0,400.0,823.0,3481.0,10.0,8.0,8,1,0,1,3
482,1330,1,1.3,1,14.0,0.0,3.0,0.3,83.0,5.0,17.0,980.0,1262.0,463.0,14.0,6.0,11,0,0,1,0
1390,1726,1,1.9,0,1.0,1.0,42.0,0.6,106.0,5.0,3.0,1221.0,1804.0,1868.0,16.0,7.0,6,1,0,0,2
1592,826,0,0.6,0,3.0,0.0,62.0,0.7,187.0,4.0,19.0,778.0,1615.0,1998.0,17.0,4.0,17,0,0,0,1
955,1745,0,1.5,1,4.0,1.0,57.0,0.1,159.0,3.0,16.0,1164.0,1908.0,2885.0,13.0,11.0,5,1,1,1,3
452,1406,0,0.5,1,2.0,1.0,34.0,0.8,98.0,3.0,5.0,1017.0,1366.0,3915.0,9.0,8.0,2,1,0,1,3
1147,1851,1,1.9,1,3.0,1.0,12.0,0.9,198.0,6.0,11.0,293.0,1967.0,735.0,7.0,6.0,14,1,0,1,0
533,1217,1,0.5,0,3.0,0.0,17.0,0.5,182.0,4.0,13.0,628.0,632.0,1711.0,7.0,3.0,9,1,0,1,1
986,1713,0,3.0,1,5.0,1.0,20.0,0.9,104.0,7.0,17.0,237.0,890.0,971.0,11.0,10.0,10,1,0,0,0
1914,759,0,2.5,0,3.0,1.0,39.0,0.3,162.0,2.0,8.0,110.0,1317.0,968.0,6.0,2.0,2,1,0,0,0
632,946,0,2.1,0,0.0,1.0,19.0,0.2,154.0,8.0,0.0,159.0,630.0,2104.0,7.0,4.0,16,1,1,0,1
1898,684,1,0.9,1,3.0,1.0,63.0,1.0,157.0,5.0,9.0,159.0,1738.0,3756.0,17.0,5.0,12,1,1,1,3
125,1659,0,2.8,0,5.0,0.0,16.0,0.6,89.0,1.0,20.0,819.0,902.0,3255.0,19.0,14.0,9,0,0,1,3
1878,608,1,0.5,1,0.0,0.0,64.0,0.9,94.0,4.0,0.0,4.0,1351.0,2517.0,16.0,8.0,7,1,1,1,1
1415,1759,1,1.4,0,10.0,1.0,15.0,0.4,101.0,4.0,13.0,382.0,1163.0,2107.0,18.0,5.0,16,1,1,0,2
974,672,1,0.5,1,0.0,0.0,54.0,0.9,95.0,4.0,11.0,578.0,1143.0,667.0,17.0,8.0,14,0,0,0,0
813,721,1,1.3,1,10.0,0.0,16.0,0.9,125.0,1.0,18.0,408.0,1862.0,1713.0,10.0,3.0,4,0,1,1,1
280,1733,1,2.8,0,3.0,1.0,36.0,1.0,119.0,6.0,20.0,357.0,527.0,3576.0,17.0,16.0,9,1,0,0,3
1741,946,1,1.4,0,9.0,0.0,26.0,0.1,186.0,6.0,10.0,273.0,891.0,1637.0,7.0,3.0,6,1,0,1,0
65,616,0,1.9,1,13.0,1.0,44.0,0.8,81.0,3.0,17.0,651.0,1618.0,3366.0,18.0,8.0,13,1,1,0,3
569,1366,1,0.7,1,0.0,1.0,34.0,0.1,150.0,2.0,9.0,402.0,964.0,3501.0,13.0,11.0,3,1,0,0,3
4,1821,1,1.2,0,13.0,1.0,44.0,0.6,141.0,2.0,14.0,1208.0,1212.0,1411.0,8.0,2.0,15,1,1,0,1
1907,709,0,2.4,1,1.0,0.0,11.0,0.1,130.0,5.0,11.0,119.0,1531.0,3568.0,16.0,14.0,3,0,0,1,3
369,1725,0,0.5,1,8.0,1.0,52.0,1.0,185.0,6.0,12.0,1125.0,1195.0,1243.0,19.0,18.0,5,1,1,1,1
1896,1799,0,1.0,0,1.0,1.0,30.0,0.6,123.0,3.0,9.0,617.0,1386.0,445.0,10.0,8.0,10,1,1,0,0
1949,757,1,0.9,1,4.0,0.0,64.0,0.5,157.0,7.0,5.0,114.0,819.0,3433.0,6.0,5.0,10,1,1,0,2
532,777,1,2.6,0,3.0,0.0,30.0,0.9,148.0,5.0,17.0,189.0,1143.0,3886.0,14.0,10.0,7,1,0,0,3
497,1337,0,0.5,0,13.0,0.0,31.0,0.8,186.0,2.0,20.0,48.0,644.0,2180.0,7.0,4.0,16,1,0,1,1
1403,1328,1,0.5,0,5.0,1.0,27.0,0.3,144.0,3.0,18.0,602.0,1156.0,2674.0,7.0,2.0,5,1,0,1,2
1299,871,0,0.6,0,2.0,0.0,52.0,0.1,178.0,3.0,3.0,194.0,1437.0,437.0,14.0,7.0,17,1,0,0,0
1589,1765,0,1.1,0,3.0,0.0,11.0,0.7,87.0,2.0,7.0,835.0,1175.0,3695.0,6.0,5.0,18,1,0,0,3
1431,1283,1,0.7,1,0.0,1.0,27.0,0.2,80.0,4.0,6.0,1135.0,1923.0,3957.0,17.0,15.0,6,1,0,0,3
875,1413,0,0.6,0,0.0,1.0,13.0,0.1,128.0,1.0,0.0,1323.0,1481.0,515.0,5.0,0.0,18,1,1,0,0
1442,973,0,0.5,1,5.0,0.0,53.0,0.5,196.0,5.0,7.0,105.0,588.0,1861.0,13.0,10.0,16,0,1,0,1
783,1067,0,1.8,1,11.0,0.0,14.0,0.2,146.0,1.0,15.0,965.0,1009.0,966.0,5.0,0.0,13,0,0,1,0
1330,1766,1,1.3,0,1.0,0.0,29.0,0.5,194.0,8.0,20.0,439.0,1306.0,2316.0,19.0,2.0,6,0,0,1,2
1013,1694,0,1.8,0,0.0,0.0,53.0,1.0,186.0,6.0,0.0,1194.0,1208.0,1653.0,7.0,5.0,6,1,0,0,2
1561,1076,0,2.3,1,0.0,1.0,14.0,0.7,191.0,5.0,0.0,1088.0,1718.0,2355.0,17.0,16.0,2,1,1,1,2
1584,1973,1,2.4,1,6.0,0.0,46.0,0.1,193.0,4.0,10.0,699.0,851.0,639.0,6.0,0.0,3,0,0,1,0
33,1310,1,2.2,1,0.0,1.0,51.0,0.6,100.0,4.0,0.0,178.0,1919.0,3845.0,7.0,0.0,12,1,1,0,3
1804,1702,1,2.3,1,12.0,1.0,47.0,0.6,107.0,2.0,19.0,1284.0,1643.0,595.0,10.0,0.0,19,1,0,1,1
1782,1436,1,2.4,1,3.0,1.0,23.0,0.3,106.0,5.0,4.0,189.0,1411.0,2488.0,8.0,4.0,8,1,0,0,2
1668,962,0,1.0,1,14.0,0.0,2.0,0.9,125.0,1.0,20.0,1618.0,1916.0,1491.0,16.0,2.0,14,1,0,0,1
1794,1494,0,1.9,0,2.0,1.0,47.0,0.4,129.0,2.0,9.0,207.0,1177.0,3202.0,13.0,1.0,14,1,0,0,3
1723,1002,0,2.6,1,7.0,0.0,27.0,0.1,146.0,1.0,10.0,115.0,1111.0,1295.0,18.0,15.0,17,1,0,1,0
1530,571,1,2.0,1,5.0,1.0,58.0,0.6,101.0,6.0,11.0,31.0,1536.0,555.0,19.0,10.0,11,1,0,1,0
1667,1967,0,0.5,0,0.0,1.0,46.0,0.6,199.0,1.0,7.0,518.0,1374.0,1567.0,15.0,2.0,7,1,1,0,1
1913,1969,0,1.2,1,9.0,0.0,63.0,0.2,132.0,4.0,11.0,390.0,756.0,298.0,10.0,1.0,10,1,1,0,0
1834,616,1,2.2,0,3.0,1.0,21.0,0.8,150.0,7.0,4.0,347.0,513.0,3267.0,17.0,9.0,19,1,0,0,2
493,1902,0,2.8,1,6.0,0.0,50.0,0.8,124.0,8.0,9.0,1142.0,1393.0,343.0,11.0,8.0,18,0,1,0,0
1197,1129,1,2.8,1,0.0,0.0,49.0,0.5,185.0,2.0,2.0,1070.0,1079.0,1857.0,8.0,4.0,5,1,1,1,1
1049,673,1,1.7,1,3.0,1.0,22.0,0.1,88.0,1.0,5.0,594.0,1088.0,2050.0,7.0,2.0,17,1,1,0,1
1748,936,1,2.3,0,5.0,1.0,57.0,0.2,129.0,2.0,6.0,657.0,938.0,2049.0,12.0,8.0,5,1,1,0,1
1999,510,1,2.0,1,5.0,1.0,45.0,0.9,168.0,6.0,16.0,483.0,754.0,3919.0,19.0,4.0,2,1,1,1,3
704,1358,0,2.5,1,0.0,0.0,20.0,0.6,135.0,7.0,0.0,1485.0,1655.0,3406.0,5.0,1.0,11,0,0,1,3
143,786,0,2.2,1,0.0,0.0,33.0,0.5,141.0,7.0,6.0,507.0,1697.0,2390.0,12.0,11.0,5,1,0,1,2
1227,1426,1,2.5,0,2.0,1.0,55.0,0.4,109.0,1.0,7.0,777.0,1032.0,2562.0,5.0,1.0,3,1,0,0,2
1250,913,0,1.7,1,1.0,1.0,41.0,0.3,103.0,1.0,14.0,431.0,1144.0,2278.0,15.0,3.0,18,1,1,0,1
958,1008,0,2.5,0,3.0,0.0,36.0,1.0,109.0,1.0,14.0,825.0,1972.0,1083.0,6.0,4.0,6,0,0,0,1
1719,833,1,0.6,1,0.0,1.0,27.0,0.3,145.0,4.0,2.0,649.0,1290.0,586.0,19.0,8.0,19,1,0,1,0
1797,873,1,0.5,1,6.0,0.0,8.0,0.6,152.0,7.0,9.0,1257.0,1411.0,575.0,15.0,8.0,7,1,0,1,0
898,1372,1,2.7,0,7.0,0.0,34.0,0.4,193.0,4.0,17.0,687.0,937.0,725.0,11.0,3.0,20,1,0,0,0
163,1193,0,0.9,0,11.0,0.0,26.0,0.5,166.0,1.0,20.0,730.0,1729.0,536.0,17.0,14.0,4,1,0,1,0
1632,1362,1,2.9,0,0.0,0.0,47.0,0.5,186.0,6.0,4.0,600.0,1042.0,3629.0,19.0,17.0,5,0,1,1,3
1858,1615,1,2.8,0,3.0,0.0,9.0,0.9,117.0,1.0,13.0,542.0,678.0,2948.0,8.0,3.0,3,1,1,0,2
1749,1485,1,0.9,1,0.0,1.0,28.0,0.8,158.0,5.0,1.0,371.0,1023.0,3241.0,14.0,11.0,11,1,1,0,3
1000,594,0,0.8,0,2.0,1.0,28.0,0.1,132.0,5.0,3.0,1011.0,1263.0,3087.0,16.0,4.0,4,1,1,1,2
1568,729,1,2.0,0,0.0,0.0,14.0,0.6,135.0,6.0,2.0,563.0,1055.0,3397.0,19.0,15.0,17,1,0,1,2
1328,507,1,1.9,1,0.0,1.0,39.0,0.7,142.0,1.0,0.0,17.0,1084.0,2124.0,6.0,0.0,12,1,1,0,1
843,1438,1,1.8,0,3.0,0.0,16.0,0.6,169.0,8.0,7.0,859.0,867.0,2246.0,14.0,11.0,15,0,0,0,2
1511,1063,0,1.5,0,7.0,0.0,3.0,0.9,155.0,4.0,10.0,394.0,849.0,1919.0,12.0,10.0,20,1,1,0,1
334,1882,1,1.3,1,8.0,0.0,47.0,0.2,140.0,2.0,13.0,119.0,652.0,2500.0,17.0,1.0,11,0,0,1,2
1731,1066,0,3.0,1,6.0,1.0,5.0,0.5,167.0,5.0,7.0,53.0,1504.0,1044.0,8.0,7.0,11,1,0,0,0
565,1271,1,0.5,0,12.0,0.0,32.0,0.1,113.0,7.0,15.0,1350.0,1949.0,445.0,15.0,14.0,14,0,0,1,0
690,1403,0,2.7,0,2.0,1.0,26.0,0.1,164.0,5.0,3.0,461.0,1251.0,3371.0,13.0,9.0,9,1,0,1,3
58,1757,0,0.5,0,8.0,0.0,49.0,0.5,180.0,6.0,14.0,265.0,713.0,2056.0,7.0,5.0,4,0,0,0,1
537,737,1,2.4,1,7.0,0.0,49.0,0.6,193.0,4.0,16.0,781.0,1463.0,2951.0,7.0,0.0,10,0,1,0,2
895,1790,1,2.3,1,3.0,1.0,49.0,0.5,100.0,3.0,11.0,396.0,1980.0,3568.0,6.0,2.0,18,1,0,1,3
1979,1614,0,1.2,0,1.0,1.0,9.0,0.1,161.0,3.0,2.0,173.0,1219.0,1832.0,15.0,8.0,11,1,0,0,1
662,1695,0,0.5,1,6.0,1.0,46.0,0.7,200.0,3.0,9.0,1791.0,1898.0,446.0,16.0,13.0,15,1,1,1,1
382,1809,1,1.7,0,3.0,1.0,59.0,0.1,174.0,3.0,4.0,639.0,721.0,2324.0,10.0,6.0,16,1,0,1,2
155,1692,0,2.3,1,4.0,1.0,46.0,0.9,139.0,1.0,6.0,674.0,1925.0,1394.0,16.0,10.0,6,1,1,0,1
872,569,1,0.5,1,10.0,1.0,4.0,0.8,170.0,3.0,19.0,351.0,1159.0,2351.0,8.0,7.0,10,1,1,0,1
1733,1163,1,2.1,1,0.0,1.0,19.0,0.9,132.0,2.0,1.0,728.0,818.0,2940.0,13.0,0.0,15,1,0,1,2
1938,1749,1,0.5,1,7.0,1.0,49.0,0.8,178.0,1.0,8.0,470.0,775.0,2195.0,5.0,4.0,4,1,0,1,2
1182,709,0,1.9,0,11.0,1.0,13.0,0.1,81.0,8.0,15.0,570.0,1422.0,467.0,17.0,11.0,5,1,1,1,0
1478,1254,1,2.3,0,0.0,1.0,44.0,0.2,149.0,1.0,10.0,204.0,1021.0,3011.0,7.0,4.0,12,1,1,0,2
554,1454,1,1.6,0,6.0,1.0,21.0,0.2,160.0,4.0,10.0,186.0,1100.0,719.0,14.0,10.0,10,1,1,1,0
1948,748,0,1.4,0,0.0,0.0,25.0,1.0,110.0,7.0,14.0,88.0,709.0,1974.0,17.0,5.0,13,0,1,1,1
1268,1824,1,0.8,0,4.0,1.0,19.0,0.9,143.0,2.0,5.0,1055.0,1738.0,2381.0,14.0,1.0,5,1,0,0,2
941,743,0,0.5,1,0.0,1.0,33.0,0.3,95.0,2.0,1.0,1587.0,1659.0,316.0,19.0,10.0,4,1,0,0,0
707,1591,1,2.2,0,3.0,1.0,49.0,0.4,154.0,6.0,7.0,1384.0,1883.0,3703.0,17.0,6.0,20,1,1,0,3
1927,1023,1,0.7,0,2.0,1.0,63.0,0.7,153.0,7.0,8.0,367.0,1985.0,3155.0,11.0,10.0,7,1,1,1,3
850,840,0,0.6,0,0.0,1.0,63.0,0.8,137.0,7.0,19.0,987.0,1081.0,3486.0,12.0,8.0,18,1,1,0,3
492,857,1,2.0,1,3.0,0.0,17.0,0.2,195.0,7.0,9.0,157.0,948.0,3100.0,17.0,5.0,13,1,1,0,2
1843,1356,1,0.5,1,0.0,0.0,35.0,0.8,131.0,1.0,19.0,782.0,951.0,3451.0,5.0,2.0,17,1,1,1,3
1987,618,1,1.0,0,9.0,1.0,13.0,0.1,80.0,4.0,15.0,591.0,724.0,1424.0,15.0,12.0,7,1,1,0,0
732,984,1,0.5,0,13.0,1.0,42.0,0.8,98.0,7.0,17.0,1036.0,1611.0,898.0,16.0,8.0,13,1,1,0,0
1570,1546,1,1.6,1,2.0,1.0,27.0,0.7,124.0,2.0,6.0,1138.0,1491.0,267.0,12.0,10.0,16,1,1,0,0
1423,1333,0,1.4,0,3.0,1.0,59.0,0.7,183.0,7.0,5.0,394.0,1301.0,3442.0,18.0,16.0,5,1,1,0,3
298,928,1,0.5,1,11.0,0.0,56.0,0.7,80.0,8.0,13.0,221.0,1243.0,666.0,19.0,10.0,5,0,1,0,0
194,640,0,0.6,0,0.0,0.0,20.0,0.1,163.0,4.0,15.0,710.0,1179.0,2844.0,7.0,5.0,18,1,1,0,2
831,1808,1,0.5,1,1.0,0.0,31.0,0.5,92.0,2.0,16.0,714.0,1208.0,2736.0,9.0,1.0,8,0,0,1,3
1508,1554,0,2.8,1,7.0,0.0,23.0,0.1,105.0,6.0,18.0,699.0,1492.0,2184.0,13.0,9.0,20,1,0,1,2
717,1397,0,2.4,1,5.0,1.0,3.0,0.2,121.0,3.0,15.0,433.0,1658.0,1378.0,18.0,15.0,4,1,1,1,1
468,765,0,2.9,0,0.0,1.0,18.0,0.1,153.0,7.0,0.0,6.0,793.0,1066.0,11.0,1.0,16,1,1,0,0
694,1310,0,1.4,0,0.0,0.0,33.0,0.4,105.0,1.0,14.0,806.0,1016.0,1301.0,13.0,12.0,19,0,0,1,1
36,589,1,2.3,1,1.0,0.0,61.0,0.6,160.0,4.0,10.0,429.0,815.0,2113.0,13.0,7.0,2,1,0,1,1
1140,802,0,0.5,1,3.0,0.0,43.0,0.6,153.0,5.0,6.0,527.0,734.0,3063.0,17.0,13.0,4,0,1,0,2
1812,1565,1,0.5,0,0.0,0.0,38.0,0.1,121.0,5.0,1.0,781.0,1364.0,308.0,19.0,17.0,7,1,1,1,0
800,1439,0,0.9,0,12.0,1.0,20.0,0.8,147.0,1.0,17.0,626.0,932.0,1790.0,19.0,12.0,15,1,0,1,1
523,1413,0,0.5,1,5.0,0.0,51.0,0.3,117.0,5.0,11.0,187.0,517.0,3383.0,16.0,5.0,2,0,0,0,3
1270,1053,0,2.9,0,7.0,0.0,42.0,0.9,126.0,6.0,17.0,419.0,1261.0,1339.0,17.0,0.0,14,0,0,1,0
795,1442,0,2.2,0,0.0,1.0,56.0,0.7,145.0,5.0,3.0,1626.0,1668.0,1513.0,11.0,8.0,7,1,1,0,2
130,1414,0,2.0,1,2.0,0.0,54.0,0.8,99.0,7.0,3.0,262.0,829.0,3799.0,17.0,7.0,7,1,0,1,3
1238,1597,1,0.9,0,4.0,1.0,4.0,0.5,85.0,1.0,19.0,880.0,1145.0,2130.0,8.0,3.0,15,1,1,0,2
1331,1407,0,1.8,1,5.0,1.0,16.0,0.2,170.0,4.0,6.0,925.0,1206.0,1068.0,6.0,0.0,8,1,1,0,1
1476,1638,0,1.0,0,6.0,0.0,2.0,0.2,189.0,1.0,11.0,440.0,563.0,2299.0,19.0,9.0,9,1,1,1,2
1129,1562,1,1.2,1,0.0,1.0,52.0,0.1,105.0,7.0,9.0,480.0,728.0,2829.0,13.0,10.0,3,1,1,1,2
1017,1221,0,0.5,0,1.0,1.0,28.0,0.5,139.0,1.0,7.0,1895.0,1976.0,2438.0,13.0,11.0,10,1,1,1,3
562,1758,1,0.5,0,11.0,1.0,13.0,0.6,190.0,8.0,14.0,762.0,1864.0,1897.0,6.0,2.0,15,1,0,0,2
1832,897,0,1.4,1,1.0,0.0,17.0,0.4,171.0,1.0,2.0,547.0,1852.0,2948.0,12.0,3.0,5,0,0,1,2
1058,643,0,1.0,0,9.0,1.0,18.0,0.2,187.0,8.0,12.0,442.0,1079.0,2648.0,7.0,5.0,18,1,1,1,1
1464,776,1,1.7,0,0.0,1.0,20.0,1.0,146.0,4.0,9.0,991.0,1803.0,685.0,15.0,11.0,7,1,1,1,0
1600,1776,1,2.1,1,10.0,0.0,35.0,0.1,172.0,4.0,16.0,278.0,623.0,1813.0,16.0,13.0,20,1,1,1,1
1167,622,0,0.7,0,0.0,1.0,9.0,0.3,127.0,2.0,0.0,98.0,511.0,3916.0,13.0,1.0,5,1,0,1,2
1050,718,0,0.7,1,0.0,1.0,21.0,0.8,88.0,1.0,7.0,518.0,830.0,1754.0,17.0,11.0,9,1,0,1,1
1601,1254,1,1.2,0,2.0,1.0,27.0,0.2,134.0,2.0,10.0,1288.0,1372.0,817.0,14.0,1.0,16,1,1,1,0
462,1986,0,0.5,1,3.0,1.0,51.0,0.1,165.0,8.0,20.0,282.0,1358.0,1614.0,17.0,12.0,3,1,1,1,1
121,772,1,2.4,1,1.0,1.0,10.0,0.5,80.0,4.0,2.0,1242.0,1712.0,3242.0,18.0,11.0,4,1,1,0,3
521,1128,1,1.1,0,9.0,1.0,46.0,0.9,135.0,8.0,10.0,751.0,1582.0,1434.0,5.0,0.0,11,1,0,0,1
1554,1957,0,1.2,1,18.0,1.0,36.0,0.8,151.0,2.0,19.0,1194.0,1727.0,1115.0,16.0,2.0,18,1,0,1,1
608,1975,1,1.5,0,6.0,1.0,16.0,0.9,128.0,8.0,11.0,80.0,655.0,2998.0,5.0,4.0,13,1,1,0,2
1486,1143,0,1.2,1,1.0,1.0,22.0,1.0,125.0,3.0,6.0,1116.0,1724.0,1214.0,12.0,5.0,16,1,1,0,1
1981,1454,0,2.6,0,8.0,0.0,6.0,0.4,199.0,3.0,20.0,698.0,1018.0,1300.0,10.0,0.0,2,0,0,1,1
563,1290,0,0.5,0,0.0,0.0,3.0,0.1,143.0,6.0,4.0,600.0,1109.0,1214.0,9.0,8.0,15,0,1,1,1
760,1432,1,1.7,1,6.0,1.0,39.0,0.3,164.0,4.0,18.0,209.0,947.0,504.0,14.0,4.0,10,1,1,0,0
1825,842,1,1.8,1,4.0,0.0,57.0,1.0,124.0,3.0,10.0,348.0,730.0,1903.0,8.0,4.0,14,0,1,0,1
